Driver,DriverNumber,LapNumber,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Year,GP,LapTimeSeconds
19,22,9.0,3.0,209.0,199.0,273.5594525235244,296.0,0,3,3.0,1,0,0,9.52425215480818,34.8,17.0,1003.4,0,47.4,177,3.9,2022,8,101.233
9,44,6.0,2.0,263.0,170.0,273.5594525235244,291.0,0,3,6.0,0,7,0,9.52425215480818,34.8,17.0,1003.4,0,47.4,177,3.9,2022,8,98.178
13,4,6.0,2.0,195.0,180.0,273.5594525235244,254.0,0,3,3.0,1,6,0,9.52425215480818,34.8,17.0,1003.4,0,47.4,177,3.9,2022,8,105.607
18,18,6.0,2.0,224.0,246.0,273.5594525235244,293.0,0,3,3.0,1,2,0,9.52425215480818,34.8,17.0,1003.4,0,47.4,177,3.9,2022,8,145.958
0,23,6.0,2.0,199.0,236.0,273.5594525235244,204.0,0,3,3.0,1,11,0,9.52425215480818,34.8,17.0,1003.4,0,47.4,177,3.9,2022,8,108.633
9,44,8.0,3.0,288.0,307.0,283.0,319.0,1,3,2.0,1,7,0,9.52425215480818,34.7,18.0,1003.2,0,47.4,180,2.0,2022,8,79.794
16,63,7.0,3.0,286.0,295.0,284.0,321.0,1,3,2.0,1,7,0,9.52425215480818,34.7,18.0,1003.2,0,47.4,180,2.0,2022,8,79.47
7,10,11.0,4.0,283.0,303.0,284.0,321.0,1,3,5.0,0,0,0,9.52425215480818,34.7,18.0,1003.2,0,47.4,180,2.0,2022,8,82.041
19,22,11.0,4.0,285.0,300.0,285.0,322.0,1,3,5.0,0,0,0,9.52425215480818,34.7,18.0,1003.2,0,47.4,180,2.0,2022,8,81.539
13,4,8.0,3.0,282.0,298.0,282.0,320.0,1,3,2.0,1,6,0,9.52425215480818,34.7,18.0,1003.2,0,47.4,180,2.0,2022,8,80.471
14,31,5.0,2.0,288.0,303.0,282.0,322.0,1,3,2.0,1,1,0,9.52425215480818,34.7,18.0,1003.2,0,47.4,180,2.0,2022,8,81.037
17,55,5.0,2.0,285.0,306.0,287.0,322.0,1,3,5.0,0,3,0,9.52425215480818,34.7,18.0,1003.2,0,47.4,180,2.0,2022,8,80.386
12,16,5.0,2.0,287.0,307.0,287.0,321.0,1,3,5.0,0,3,0,9.52425215480818,34.7,18.0,1003.2,0,47.4,180,2.0,2022,8,79.969
20,1,5.0,2.0,289.0,308.0,285.0,322.0,1,3,5.0,0,10,0,9.52425215480818,34.8,18.0,1003.2,0,47.4,170,3.0,2022,8,80.109
16,63,8.0,3.0,170.0,194.0,273.5594525235244,242.0,0,3,3.0,1,7,0,9.52425215480818,34.8,18.0,1003.2,0,47.4,170,3.0,2022,8,105.614
7,10,12.0,4.0,232.0,251.0,273.5594525235244,304.0,0,3,6.0,0,0,0,9.52425215480818,34.8,18.0,1003.2,0,47.4,170,3.0,2022,8,99.501
19,22,12.0,4.0,199.0,218.0,273.5594525235244,308.0,0,3,6.0,0,0,0,9.52425215480818,34.8,18.0,1003.2,0,47.4,170,3.0,2022,8,97.235
9,44,9.0,3.0,243.0,240.0,273.5594525235244,207.0,0,3,3.0,1,7,0,9.52425215480818,34.8,18.0,1003.2,0,47.4,170,3.0,2022,8,125.701
13,4,9.0,3.0,203.0,189.0,273.5594525235244,276.0,0,3,3.0,1,6,0,9.52425215480818,34.8,18.0,1003.2,0,47.4,170,3.0,2022,8,100.113
14,31,6.0,2.0,209.0,189.0,273.5594525235244,297.0,0,3,3.0,1,1,0,9.52425215480818,34.8,18.0,1003.2,0,47.4,170,3.0,2022,8,103.973
